Cód.,Município,Salario
2510105,Nova Floresta (PB),1624.63
2510204,Nova Olinda (PB),1403.3
2510303,Nova Palmeira (PB),1519.57
2510402,Olho d'Água (PB),1298.22
2510501,Olivedos (PB),1717.46
2510600,Ouro Velho (PB),1315.71
2510659,Parari (PB),1362.17
2510709,Passagem (PB),1433.89
2510808,Patos (PB),1960.01
2510907,Paulista (PB),1690.22
2511004,Pedra Branca (PB),1520.71
2511103,Pedra Lavrada (PB),1944.84
2511202,Pedras de Fogo (PB),1488.79
2511301,Piancó (PB),1588.65
2511400,Picuí (PB),1934.41
2511509,Pilar (PB),1186.79
2511608,Pilões (PB),1554.48
2511707,Pilõezinhos (PB),1748.5
2511806,Pirpirituba (PB),1732.81
2511905,Pitimbu (PB),1951.72
2512002,Pocinhos (PB),1768.81
2512036,Poço Dantas (PB),1658.57
2512077,Poço de José de Moura (PB),1575.22
2512101,Pombal (PB),1719.79
2512200,Prata (PB),1396.56
2512309,Princesa Isabel (PB),1467.61
2512408,Puxinanã (PB),1665.24
2512507,Queimadas (PB),1572.59
2512606,Quixaba (PB),1647.52
2512705,Remígio (PB),1603.31
2512721,Pedro Régis (PB),1624.72
2512747,Riachão (PB),1301.16
2512754,Riachão do Bacamarte (PB),1365.4
2512762,Riachão do Poço (PB),1608.43
2512788,Riacho de Santo Antônio (PB),1660.27
2512804,Riacho dos Cavalos (PB),1495.14
2512903,Rio Tinto (PB),1474.82
2513000,Salgadinho (PB),1663.72
2513109,Salgado de São Félix (PB),1625.1
2513158,Santa Cecília (PB),1611.47
2513208,Santa Cruz (PB),1621.43
2513307,Santa Helena (PB),1484.88
2513356,Santa Inês (PB),1451.52
2513406,Santa Luzia (PB),1559.6
2513505,Santana de Mangueira (PB),1407.93
2513604,Santana dos Garrotes (PB),1543.51
2513653,Joca Claudino (PB),1641.34
2513703,Santa Rita (PB),1654.81
2513802,Santa Teresinha (PB),1572.55
2513851,Santo André (PB),1402.51
2513901,São Bento (PB),1562.76
2513927,São Bentinho (PB),1370.07
2513943,São Domingos do Cariri (PB),1834.46
2513968,São Domingos (PB),1553.24
2513984,São Francisco (PB),1714.66
2514008,São João do Cariri (PB),1386.01
2514107,São João do Tigre (PB),1611.04
2514206,São José da Lagoa Tapada (PB),1493.67
2514305,São José de Caiana (PB),1719.63
2514404,São José de Espinharas (PB),1763.27
2514453,São José dos Ramos (PB),1661.1
2514503,São José de Piranhas (PB),1566.68
2514552,São José de Princesa (PB),1759.62
2514602,São José do Bonfim (PB),1999.96
2514651,São José do Brejo do Cruz (PB),1703.55
2514701,São José do Sabugi (PB),1634.29
2514800,São José dos Cordeiros (PB),1431.47
2514909,São Mamede (PB),1613.95
2515005,São Miguel de Taipu (PB),1157.88
2515104,São Sebastião de Lagoa de Roça (PB),1727.55
2515203,São Sebastião do Umbuzeiro (PB),1374.72
2515302,Sapé (PB),1530.15
2515401,São Vicente do Seridó (PB),1772.31
2515500,Serra Branca (PB),1398.34
2515609,Serra da Raiz (PB),1463.79
2515708,Serra Grande (PB),1558.33
2515807,Serra Redonda (PB),1375.23
2515906,Serraria (PB),1658.21
2515930,Sertãozinho (PB),1414.67
2515971,Sobrado (PB),1514.39
2516003,Solânea (PB),1710.67
2516102,Soledade (PB),1699.93
2516151,Sossêgo (PB),1532.73
2516201,Sousa (PB),1641.59
2516300,Sumé (PB),1812.19
2516409,Tacima (PB),1451.57
2516508,Taperoá (PB),1352.67
2516607,Tavares (PB),1778.71
2516706,Teixeira (PB),1721.15
2516755,Tenório (PB),1595.18
2516805,Triunfo (PB),1472.45
2516904,Uiraúna (PB),1451.36
2517001,Umbuzeiro (PB),1526.75
2517100,Várzea (PB),1399.32
2517209,Vieirópolis (PB),1549.43
2517407,Zabelê (PB),1649.82
2600054,Abreu e Lima (PE),1927.28
2600104,Afogados da Ingazeira (PE),1753.9
2600203,Afrânio (PE),1475.67
2600302,Agrestina (PE),1449.75
2600401,Água Preta (PE),1557.28
2600500,Águas Belas (PE),1688.95
2600609,Alagoinha (PE),1477.06
2600708,Aliança (PE),1359.05
2600807,Altinho (PE),1611.35
2600906,Amaraji (PE),1516.3
2601003,Angelim (PE),2032.76
2601052,Araçoiaba (PE),1494.66
2601102,Araripina (PE),1702.95
2601201,Arcoverde (PE),1769.68
2601300,Barra de Guabiraba (PE),1344.26
2601409,Barreiros (PE),1611.84
2601508,Belém de Maria (PE),1580.77
2601607,Belém do São Francisco (PE),1582.29
2601706,Belo Jardim (PE),1924.06
2601805,Betânia (PE),1676.56
2601904,Bezerros (PE),1425.03
2602001,Bodocó (PE),1726.28
2602100,Bom Conselho (PE),1820.49
2602209,Bom Jardim (PE),1358.77
2602308,Bonito (PE),1677.38
2602407,Brejão (PE),1637.73
2602506,Brejinho (PE),1713.65
2602605,Brejo da Madre de Deus (PE),1806.51
2602704,Buenos Aires (PE),1724.16
2602803,Buíque (PE),1962.14
2602902,Cabo de Santo Agostinho (PE),2393.69
2603009,Cabrobó (PE),1553.72
2603108,Cachoeirinha (PE),1479.71
2603207,Caetés (PE),1687.42
2603306,Calçado (PE),1567.93
2603405,Calumbi (PE),1535.8
2603454,Camaragibe (PE),1856.99
2603504,Camocim de São Félix (PE),1634.78
2603603,Camutanga (PE),1873.51
2603702,Canhotinho (PE),1555.03
2603801,Capoeiras (PE),1537.38
2603900,Carnaíba (PE),1746.98
2603926,Carnaubeira da Penha (PE),1427.97
2604007,Carpina (PE),1618.17
2604106,Caruaru (PE),1736.01
2604155,Casinhas (PE),1522.29
2604205,Catende (PE),1677.27
2604304,Cedro (PE),1517.37
2604403,Chã de Alegria (PE),1774.95
2604502,Chã Grande (PE),1590.52
2604601,Condado (PE),1779.37
2604700,Correntes (PE),1592.24
2604809,Cortês (PE),1483.27
2604908,Cumaru (PE),1437.98
2605004,Cupira (PE),1404.67
2605103,Custódia (PE),1876.87
2605152,Dormentes (PE),1697.07
2605202,Escada (PE),1755.74
2605301,Exu (PE),1543.63
2605400,Feira Nova (PE),1511.67
2605459,Fernando de Noronha (PE),1960.82
2605509,Ferreiros (PE),1431.63
2605608,Flores (PE),1314.98
2605707,Floresta (PE),1600.22
2605806,Frei Miguelinho (PE),1635.65
2605905,Gameleira (PE),1631.92
2606002,Garanhuns (PE),1732.96
2606101,Glória do Goitá (PE),1952.55
2606200,Goiana (PE),2392.03
2606309,Granito (PE),1682.24
2606408,Gravatá (PE),1553.58
2606507,Iati (PE),1784.51
2606606,Ibimirim (PE),1555.65
2606705,Ibirajuba (PE),1523.72
2606804,Igarassu (PE),2014.29
2606903,Iguaracy (PE),1678.93
2607000,Inajá (PE),1590.92
2607109,Ingazeira (PE),1630.55
2607208,Ipojuca (PE),3206.51
2607307,Ipubi (PE),1521.01
2607406,Itacuruba (PE),1694.56
2607505,Itaíba (PE),1918.65
2607604,Ilha de Itamaracá (PE),1698.13
2607653,Itambé (PE),1390.6
2607703,Itapetim (PE),1545.7
2607752,Itapissuma (PE),2932.64
2607802,Itaquitinga (PE),1625.9
2607901,Jaboatão dos Guararapes (PE),2000.95
2607950,Jaqueira (PE),1680.29
2608008,Jataúba (PE),1391.6
2608057,Jatobá (PE),1639.55
2608107,João Alfredo (PE),1552.5
2608206,Joaquim Nabuco (PE),1796.68
2608255,Jucati (PE),1665.51
2608305,Jupi (PE),1623.46
2608404,Jurema (PE),1630.32
2608453,Lagoa do Carro (PE),1577.65
2608503,Lagoa de Itaenga (PE),1648.12
2608602,Lagoa do Ouro (PE),1394.16
2608701,Lagoa dos Gatos (PE),1940.66
2608750,Lagoa Grande (PE),1365.31
2608800,Lajedo (PE),1419.73
2608909,Limoeiro (PE),1601.01
2609006,Macaparana (PE),1505.04
2609105,Machados (PE),1400.35
2609154,Manari (PE),1785.1
2609204,Maraial (PE),1265.75
2609303,Mirandiba (PE),1710.1
2609402,Moreno (PE),1843
2609501,Nazaré da Mata (PE),1537.04
2609600,Olinda (PE),1748.92
2609709,Orobó (PE),1581.41
2609808,Orocó (PE),1858.26
2609907,Ouricuri (PE),1833.8
2610004,Palmares (PE),1761.35
2610103,Palmeirina (PE),1718.69
2610202,Panelas (PE),1379.99
2610301,Paranatama (PE),1455.39
2610400,Parnamirim (PE),1128.37
2610509,Passira (PE),1524.58
2610608,Paudalho (PE),1513.11
2610707,Paulista (PE),1858.13
2610806,Pedra (PE),1586.69
2610905,Pesqueira (PE),1607.23
2611002,Petrolândia (PE),2084.16
2611101,Petrolina (PE),2071.66
2611200,Poção (PE),1508.28
2611309,Pombos (PE),1612.6
2611408,Primavera (PE),1561.25
2611507,Quipapá (PE),1598.86
2611533,Quixaba (PE),1665.52
2611606,Recife (PE),3192.1
2611705,Riacho das Almas (PE),1624.07
2611804,Ribeirão (PE),1745.95
2611903,Rio Formoso (PE),1495.6
2612000,Sairé (PE),1730.4
2612109,Salgadinho (PE),1673.87
2612208,Salgueiro (PE),1784.49
2612307,Saloá (PE),1483.81
2612406,Sanharó (PE),1653.19
2612455,Santa Cruz (PE),1621.41
2612471,Santa Cruz da Baixa Verde (PE),1613.75
2612505,Santa Cruz do Capibaribe (PE),1445.69
2612554,Santa Filomena (PE),1603.88
2612604,Santa Maria da Boa Vista (PE),2143.77
2612703,Santa Maria do Cambucá (PE),1786.05
2612802,Santa Terezinha (PE),1416.92
2612901,São Benedito do Sul (PE),1628.44
2613008,São Bento do Una (PE),1613.63
2613107,São Caitano (PE),1513.36
2613206,São João (PE),1419.97
2613305,São Joaquim do Monte (PE),1595.54
2613404,São José da Coroa Grande (PE),1527.72
2613503,São José do Belmonte (PE),1588.06
2613602,São José do Egito (PE),1605.24
2613701,São Lourenço da Mata (PE),1916.28
2613800,São Vicente Férrer (PE),1695.84
2613909,Serra Talhada (PE),1647.04
2614006,Serrita (PE),1290.8
2614105,Sertânia (PE),1773.97
2614204,Sirinhaém (PE),1761.44
2614303,Moreilândia (PE),1522.61
2614402,Solidão (PE),1413.1
2614501,Surubim (PE),1593.62
2614600,Tabira (PE),1612.44
2614709,Tacaimbó (PE),1487.23
2614808,Tacaratu (PE),1500.38
2614857,Tamandaré (PE),1440.11
2615003,Taquaritinga do Norte (PE),1418.68
2615102,Terezinha (PE),1575.01
2615201,Terra Nova (PE),1579.62
2615300,Timbaúba (PE),1647.94
2615409,Toritama (PE),1388.6
2615508,Tracunhaém (PE),1543.89
2615607,Trindade (PE),1633.55
2615706,Triunfo (PE),1641.51
2615805,Tupanatinga (PE),1790.06
2615904,Tuparetama (PE),1568.26
2616001,Venturosa (PE),1587.98
2616100,Verdejante (PE),1482.06
2616183,Vertente do Lério (PE),1397.46
2616209,Vertentes (PE),1533.25
2616308,Vicência (PE),1476.28
2616407,Vitória de Santo Antão (PE),1926.08
2616506,Xexéu (PE),1738.4
2700102,Água Branca (AL),1741.45
2700201,Anadia (AL),1502.28
2700300,Arapiraca (AL),1604.82
2700409,Atalaia (AL),1641.78
2700508,Barra de Santo Antônio (AL),1637.38
2700607,Barra de São Miguel (AL),1438.38
2700706,Batalha (AL),1419.65
2700805,Belém (AL),1354.09
2700904,Belo Monte (AL),1740.45
2701001,Boca da Mata (AL),1491.56
2701100,Branquinha (AL),1689.53
2701209,Cacimbinhas (AL),1733.25
2701308,Cajueiro (AL),2026.17
2701357,Campestre (AL),1369.73
2701407,Campo Alegre (AL),1816.64
2701506,Campo Grande (AL),1360.11
2701605,Canapi (AL),1452.07
2701704,Capela (AL),1522.46
2701803,Carneiros (AL),2025.06
2701902,Chã Preta (AL),1794.17
2702009,Coité do Nóia (AL),1857.81
2702108,Colônia Leopoldina (AL),1502.55
2702207,Coqueiro Seco (AL),1723.46
2702306,Coruripe (AL),1894.88
2702355,Craíbas (AL),1499.42
2702405,Delmiro Gouveia (AL),1690.76
2702504,Dois Riachos (AL),1873.28
2702553,Estrela de Alagoas (AL),1508.72
2702603,Feira Grande (AL),1958.17
2702702,Feliz Deserto (AL),1425.66
2702801,Flexeiras (AL),977.51
2702900,Girau do Ponciano (AL),1468.29
2703007,Ibateguara (AL),1867.67
2703106,Igaci (AL),1683.87
2703205,Igreja Nova (AL),1417.01
2703304,Inhapi (AL),1741.26
2703403,Jacaré dos Homens (AL),1598.87
2703502,Jacuípe (AL),1516.39
2703601,Japaratinga (AL),1494.55
2703700,Jaramataia (AL),1487.82
2703759,Jequiá da Praia (AL),1388.77
2703809,Joaquim Gomes (AL),1678
2703908,Jundiá (AL),1327.29
2704005,Junqueiro (AL),1572.46
2704104,Lagoa da Canoa (AL),1688.4
2704203,Limoeiro de Anadia (AL),1459.01
2704302,Maceió (AL),2688.3
2704401,Major Isidoro (AL),1614.25
2704500,Maragogi (AL),1699.54
2704609,Maravilha (AL),2089
2704708,Marechal Deodoro (AL),2599.16
2704807,Maribondo (AL),1685.35
2704906,Mar Vermelho (AL),1248.4
2705002,Mata Grande (AL),1617.24
2705101,Matriz de Camaragibe (AL),1152.01
2705200,Messias (AL),1596.93
2705309,Minador do Negrão (AL),1387.02
2705408,Monteirópolis (AL),1549.49
2705507,Murici (AL),1674.34
2705606,Novo Lino (AL),1433.57
2705705,Olho d'Água das Flores (AL),1544.44
2705804,Olho d'Água do Casado (AL),1851.55
2705903,Olho d'Água Grande (AL),1638.54
2706000,Olivença (AL),1623.34
2706109,Ouro Branco (AL),1689.3
2706208,Palestina (AL),1886.89
2706307,Palmeira dos Índios (AL),1812.44
2706406,Pão de Açúcar (AL),1442.67
2706422,Pariconha (AL),1781.51
2706448,Paripueira (AL),1475.03
2706505,Passo de Camaragibe (AL),1691.94
2706604,Paulo Jacinto (AL),1404.43
2706703,Penedo (AL),1966.32
2706802,Piaçabuçu (AL),1593.62
2706901,Pilar (AL),2678.63
2707008,Pindoba (AL),1378.39
2707107,Piranhas (AL),1961.25
2707206,Poço das Trincheiras (AL),1918.31
2707305,Porto Calvo (AL),1521.38
2707404,Porto de Pedras (AL),1343.59
2707503,Porto Real do Colégio (AL),2132.17
2707602,Quebrangulo (AL),1875.08
2707701,Rio Largo (AL),1653.19
2707800,Roteiro (AL),1588.56
2707909,Santa Luzia do Norte (AL),1857.94
2708006,Santana do Ipanema (AL),1900.23
2708105,Santana do Mundaú (AL),1656.45
2708204,São Brás (AL),1676.68
2708303,São José da Laje (AL),1401.98
2708402,São José da Tapera (AL),1737.95
2708501,São Luís do Quitunde (AL),1075.37
2708600,São Miguel dos Campos (AL),1828.66
2708709,São Miguel dos Milagres (AL),1487.91
2708808,São Sebastião (AL),1963.39
2708907,Satuba (AL),2386.6
2708956,Senador Rui Palmeira (AL),2005.48
2709004,Tanque d'Arca (AL),1522.03
2709103,Taquarana (AL),2017.22
2709152,Teotônio Vilela (AL),1827.69
2709202,Traipu (AL),1599.99
2709301,União dos Palmares (AL),1625.97
2709400,Viçosa (AL),1656.73
2800100,Amparo do São Francisco (SE),1866.97
2800209,Aquidabã (SE),1567.05
2800308,Aracaju (SE),3017.72
2800407,Arauá (SE),2060.51
2800506,Areia Branca (SE),2140.45
2800605,Barra dos Coqueiros (SE),2609.8
2800670,Boquim (SE),2212.47
2800704,Brejo Grande (SE),1752.73
2801009,Campo do Brito (SE),1745.58
2801108,Canhoba (SE),1970.66
2801207,Canindé de São Francisco (SE),2586.53
2801306,Capela (SE),1754.42
2801405,Carira (SE),2106.59
2801504,Carmópolis (SE),2357.22
2801603,Cedro de São João (SE),1616.07
2801702,Cristinápolis (SE),1908.71
2801900,Cumbe (SE),1587.95
2802007,Divina Pastora (SE),2171.51
2802106,Estância (SE),2131.49
2802205,Feira Nova (SE),2002.75
2802304,Frei Paulo (SE),1466.23
2802403,Gararu (SE),2198.23
2802502,General Maynard (SE),1841.65
2802601,Gracho Cardoso (SE),1784.82
2802700,Ilha das Flores (SE),1749.6
2802809,Indiaroba (SE),2214.09
2802908,Itabaiana (SE),1544.77
2803005,Itabaianinha (SE),1737.23
2803104,Itabi (SE),1824.04
2803203,Itaporanga d'Ajuda (SE),2227.09
2803302,Japaratuba (SE),6201.08
2803401,Japoatã (SE),1845.58
2803500,Lagarto (SE),1674.12
2803609,Laranjeiras (SE),3069.56
2803708,Macambira (SE),6552.49
2803807,Malhada dos Bois (SE),1500.67
2803906,Malhador (SE),2124.87
2804003,Maruim (SE),2151.51
2804102,Moita Bonita (SE),1774.35
2804201,Monte Alegre de Sergipe (SE),2245.31
2804300,Muribeca (SE),2000.48
2804409,Neópolis (SE),1729.58
2804458,Nossa Senhora Aparecida (SE),1595.49
2804508,Nossa Senhora da Glória (SE),1765.87
2804607,Nossa Senhora das Dores (SE),1896.19
2804706,Nossa Senhora de Lourdes (SE),1915.69
2804805,Nossa Senhora do Socorro (SE),2033.1
2804904,Pacatuba (SE),2379.73
2805000,Pedra Mole (SE),2150.67
2805109,Pedrinhas (SE),2058.86
2805208,Pinhão (SE),2186.9
2805307,Pirambu (SE),2286.77
2805406,Poço Redondo (SE),1807.12
2805505,Poço Verde (SE),1889.02
2805604,Porto da Folha (SE),2073.72
2805703,Propriá (SE),1914.62
2805802,Riachão do Dantas (SE),2031.33
2805901,Riachuelo (SE),1998.15
2806008,Ribeirópolis (SE),1883.3
2806107,Rosário do Catete (SE),4243.87
2806206,Salgado (SE),1640.92
2806305,Santa Luzia do Itanhy (SE),1894.11
2806404,Santana do São Francisco (SE),2107.6
2806503,Santa Rosa de Lima (SE),1903.75
2806602,Santo Amaro das Brotas (SE),2325.65
2806701,São Cristóvão (SE),3437.4
2806800,São Domingos (SE),1558.15
2806909,São Francisco (SE),1749.71
2807006,São Miguel do Aleixo (SE),1591.22
2807105,Simão Dias (SE),1634.17
2807204,Siriri (SE),2310.66
2807303,Telha (SE),1673
2807402,Tobias Barreto (SE),1786.89
2807501,Tomar do Geru (SE),1883.18
2807600,Umbaúba (SE),1642.57
2900108,Abaíra (BA),1466.97
2900207,Abaré (BA),1850.54
2900306,Acajutiba (BA),1812.23
2900355,Adustina (BA),1915.07
2900405,Água Fria (BA),1875.49
2900504,Érico Cardoso (BA),1327.13
2900603,Aiquara (BA),1807.51
2900702,Alagoinhas (BA),2137.62
2900801,Alcobaça (BA),1686.88
2900900,Almadina (BA),1669.74
2901007,Amargosa (BA),1405.81
2901106,Amélia Rodrigues (BA),1935.43
2901155,América Dourada (BA),2125.01
2901205,Anagé (BA),1750.32
2901304,Andaraí (BA),1540.6
2901353,Andorinha (BA),3303.14
2901403,Angical (BA),1660.75
2901502,Anguera (BA),1068.38
2901601,Antas (BA),1748.9
2901700,Antônio Cardoso (BA),1800.62
2901809,Antônio Gonçalves (BA),1211.94
2901908,Aporá (BA),1595.48
2901957,Apuarema (BA),2290.23
2902005,Aracatu (BA),1334.23
2902054,Araçás (BA),1381.01
2902104,Araci (BA),2059.04
2902203,Aramari (BA),1553.77
2902252,Arataca (BA),1578.44
2902302,Aratuípe (BA),1540.37
2902401,Aurelino Leal (BA),1693.86
2902500,Baianópolis (BA),1809.66
2902609,Baixa Grande (BA),2011.61
2902658,Banzaê (BA),1943.02
2902708,Barra (BA),2058.99
2902807,Barra da Estiva (BA),1639.32
2902906,Barra do Choça (BA),2371.95
2903003,Barra do Mendes (BA),1405.1
2903102,Barra do Rocha (BA),1853.38
2903201,Barreiras (BA),2167.52
2903235,Barro Alto (BA),1704.26
2903276,Barrocas (BA),3703.27
2903300,Barro Preto (BA),1980.05
2903409,Belmonte (BA),2173.65
2903508,Belo Campo (BA),1577.27
2903607,Biritinga (BA),1763.52
2903706,Boa Nova (BA),1800.34
2903805,Boa Vista do Tupim (BA),1706.8
2903904,Bom Jesus da Lapa (BA),1876.86
2903953,Bom Jesus da Serra (BA),1807.34
2904001,Boninal (BA),1711.74
2904050,Bonito (BA),1736.87
2904100,Boquira (BA),1643.94
2904209,Botuporã (BA),2269.64
2904308,Brejões (BA),1707.86
2904407,Brejolândia (BA),1239.06
2904506,Brotas de Macaúbas (BA),1908.78
2904605,Brumado (BA),1936.17
2904704,Buerarema (BA),1643.66
2904753,Buritirama (BA),1705.69
2904803,Caatiba (BA),1345.5
2904852,Cabaceiras do Paraguaçu (BA),1765.18
2904902,Cachoeira (BA),1938.07
2905008,Caculé (BA),1444.71
2905107,Caém (BA),1953.43
2905156,Caetanos (BA),1365.56
2905206,Caetité (BA),1783.97
2905305,Cafarnaum (BA),2225.36
2905404,Cairu (BA),1516.24
2905503,Caldeirão Grande (BA),1267.05
2905602,Camacan (BA),1896.06
2905701,Camaçari (BA),3766.2
2905800,Camamu (BA),1755.16
2905909,Campo Alegre de Lourdes (BA),1955.2
2906006,Campo Formoso (BA),2288
2906105,Canápolis (BA),1286.75
2906204,Canarana (BA),1852.85
2906303,Canavieiras (BA),1673.23
2906402,Candeal (BA),1611.84
2906501,Candeias (BA),3025.37
2906600,Candiba (BA),1970.66
2906709,Cândido Sales (BA),1916.87
2906808,Cansanção (BA),1649.88
2906824,Canudos (BA),1878.09
2906857,Capela do Alto Alegre (BA),1902.8
2906873,Capim Grosso (BA),1496.04
2906899,Caraíbas (BA),1021.93
2906907,Caravelas (BA),1935.4
2907004,Cardeal da Silva (BA),1837.91
2907103,Carinhanha (BA),2074.07
2907202,Casa Nova (BA),1599.63
2907301,Castro Alves (BA),1713.92
2907400,Catolândia (BA),1569.56
2907509,Catu (BA),2794.84
2907558,Caturama (BA),1437.15
2907608,Central (BA),1999.34
2907707,Chorrochó (BA),2071.17
2907806,Cícero Dantas (BA),1928.25
2907905,Cipó (BA),1848.7
2908002,Coaraci (BA),1728.87
2908101,Cocos (BA),1798.07
2908200,Conceição da Feira (BA),1623.6
2908309,Conceição do Almeida (BA),1389.06
2908408,Conceição do Coité (BA),1489.97
2908507,Conceição do Jacuípe (BA),1733.4
2908606,Conde (BA),2671.09
2908705,Condeúba (BA),1379.19
2908804,Contendas do Sincorá (BA),1577.35
2908903,Coração de Maria (BA),1457.13
2909000,Cordeiros (BA),1542.98
2909109,Coribe (BA),1761.88
2909208,Coronel João Sá (BA),1810.03
2909307,Correntina (BA),2390.15
2909406,Cotegipe (BA),1624.9
2909505,Cravolândia (BA),1534.86
2909604,Crisópolis (BA),1839.32
2909703,Cristópolis (BA),1921.98
2909802,Cruz das Almas (BA),2715.33
2909901,Curaçá (BA),2195.09
2910008,Dário Meira (BA),1860.67
2910057,Dias d'Ávila (BA),2755.19
2910107,Dom Basílio (BA),1634.58
2910206,Dom Macedo Costa (BA),1379.54
2910305,Elísio Medrado (BA),1174.02
2910404,Encruzilhada (BA),1854.69
2910503,Entre Rios (BA),2640.87
2910602,Esplanada (BA),1832.94
2910701,Euclides da Cunha (BA),2118.06
2910727,Eunápolis (BA),2208.73
2910750,Fátima (BA),2128.3
2910776,Feira da Mata (BA),1546.69
2910800,Feira de Santana (BA),1919.69
2910859,Filadélfia (BA),1916.99
2910909,Firmino Alves (BA),1309.22
2911006,Floresta Azul (BA),1533.84
2911105,Formosa do Rio Preto (BA),2169.32
2911204,Gandu (BA),1594.23
2911253,Gavião (BA),1461.67
2911303,Gentio do Ouro (BA),1934.04
2911402,Glória (BA),1547.62
2911501,Gongogi (BA),1425.29
2911600,Governador Mangabeira (BA),1545.39
2911659,Guajeru (BA),1472.37
2911709,Guanambi (BA),1915.62
2911808,Guaratinga (BA),2036.86
2911857,Heliópolis (BA),1783.73
2911907,Iaçu (BA),1443.91
2912004,Ibiassucê (BA),1393.08
2912103,Ibicaraí (BA),1700.11
2912202,Ibicoara (BA),1800.29
2912301,Ibicuí (BA),1529.42
2912400,Ibipeba (BA),1637.85
2912509,Ibipitanga (BA),1272.8
2912608,Ibiquera (BA),1120.86
2912707,Ibirapitanga (BA),2099.44
2912806,Ibirapuã (BA),1787.43
2912905,Ibirataia (BA),1757.55
2913002,Ibitiara (BA),1857.43
2913101,Ibititá (BA),1659.51
2913200,Ibotirama (BA),1787.8
2913309,Ichu (BA),1674.41
2913408,Igaporã (BA),1557.88
2913457,Igrapiúna (BA),1695.29
2913507,Iguaí (BA),1703.45
2913606,Ilhéus (BA),2429.81
2913705,Inhambupe (BA),1705.82
2913804,Ipecaetá (BA),1111.03
2913903,Ipiaú (BA),1674.78
2914000,Ipirá (BA),1612.48
2914109,Ipupiara (BA),1310.18
2914208,Irajuba (BA),1658.19
2914307,Iramaia (BA),1762.88
2914406,Iraquara (BA),2557.43
2914505,Irará (BA),1754.24
2914604,Irecê (BA),1758.52
2914653,Itabela (BA),1765.63
2914703,Itaberaba (BA),1485.66
2914802,Itabuna (BA),1944.58
2914901,Itacaré (BA),1707.33
2915007,Itaeté (BA),1278.79
2915106,Itagi (BA),1739.86
2915205,Itagibá (BA),2066.26
2915304,Itagimirim (BA),1879.67
2915353,Itaguaçu da Bahia (BA),1602.57
2915403,Itaju do Colônia (BA),1410.29
2915502,Itajuípe (BA),1748.74
2915601,Itamaraju (BA),1589.9
2915700,Itamari (BA),1841.9
2915809,Itambé (BA),1976.23
2915908,Itanagra (BA),1744.26
2916005,Itanhém (BA),1506.05
2916104,Itaparica (BA),1508.06
2916203,Itapé (BA),1588.09
2916302,Itapebi (BA),2164.38
2916401,Itapetinga (BA),1499.29
2916500,Itapicuru (BA),1960.46
2916609,Itapitanga (BA),1612.08
2916708,Itaquara (BA),1508.03
2916807,Itarantim (BA),1517.57
2916856,Itatim (BA),1574.78
2916906,Itiruçu (BA),1396.57
2917003,Itiúba (BA),1989.64
2917102,Itororó (BA),1506.96
2917201,Ituaçu (BA),1901.94
2917300,Ituberá (BA),1679.62
2917334,Iuiu (BA),1874.03
2917359,Jaborandi (BA),2161.04
2917409,Jacaraci (BA),1504.24
2917508,Jacobina (BA),2077.46
2917607,Jaguaquara (BA),1802.01
2917706,Jaguarari (BA),2732.8
2917805,Jaguaripe (BA),1879.55
2917904,Jandaíra (BA),1649.55
2918001,Jequié (BA),1897.11
2918100,Jeremoabo (BA),1888.99
2918209,Jiquiriçá (BA),1654.17
2918308,Jitaúna (BA),1834.18
2918357,João Dourado (BA),2012.01
2918407,Juazeiro (BA),2033.4
2918456,Jucuruçu (BA),1403.5
2918506,Jussara (BA),2213.95
2918555,Jussari (BA),1530.76
2918605,Jussiape (BA),1401.18
2918704,Lafaiete Coutinho (BA),1596.66
2918753,Lagoa Real (BA),1342.55
2918803,Laje (BA),1800.85
2918902,Lajedão (BA),1489.61
2919009,Lajedinho (BA),1664.37
2919058,Lajedo do Tabocal (BA),1553.4
2919108,Lamarão (BA),1785.91
2919157,Lapão (BA),1604.27
2919207,Lauro de Freitas (BA),1769.71
2919306,Lençóis (BA),1658.49
2919405,Licínio de Almeida (BA),1543.96
2919504,Livramento de Nossa Senhora (BA),1566.97
2919553,Luís Eduardo Magalhães (BA),2101.33
2919603,Macajuba (BA),2278.65
2919702,Macarani (BA),1486.79
2919801,Macaúbas (BA),1798.86
2919900,Macururé (BA),1191.27
2919926,Madre de Deus (BA),3360.18
2919959,Maetinga (BA),1440.74
2920007,Maiquinique (BA),1613.9
2920106,Mairi (BA),1727.6
2920205,Malhada (BA),1645.6
2920304,Malhada de Pedras (BA),1560.51
2920403,Manoel Vitorino (BA),2298.43
2920452,Mansidão (BA),1989.35
2920502,Maracás (BA),2038.72
2920601,Maragogipe (BA),2282.95
2920700,Maraú (BA),1622.06
2920809,Marcionílio Souza (BA),1572.55
2920908,Mascote (BA),1512.42
2921005,Mata de São João (BA),1971.08
2921054,Matina (BA),1678.08
2921104,Medeiros Neto (BA),1778.08
2921203,Miguel Calmon (BA),1717.86
2921302,Milagres (BA),1628
2921401,Mirangaba (BA),1764.49
2921450,Mirante (BA),1713.34
2921500,Monte Santo (BA),1987.37
2921609,Morpará (BA),1622.56
2921708,Morro do Chapéu (BA),1951.8
2921807,Mortugaba (BA),1334.83
2921906,Mucugê (BA),1794.54
2922003,Mucuri (BA),3434.08
2922052,Mulungu do Morro (BA),1772.41
